arm,stage,cond,task,seed,result,success,infra,turns,wall_s,fires,injections,injected_tokens,recovery_any,stalled@3
P4,g0,g0D,3,1,success,1,0,19,892.1,0,0,0,0,0
P4,g0,g0D,3,2,success,1,0,29,2919.3,2,2,688,1,0
P4,g0,g0D,3,3,success,1,0,23,2331.3,1,1,343,1,0
P4,g0,g0D,3,4,policy_fail,0,0,31,1725.3,4,4,1390,1,1
P4,g0,g0D,3,5,success,1,0,27,2247.0,0,0,0,0,0
P4,g0,g0D,3,6,success,1,0,15,1396.6,0,0,0,0,0
P4,g0,g0D,3,7,success,1,0,22,2468.6,1,1,343,0,0
P4,g0,g0D,3,8,success,1,0,32,1942.8,2,2,688,1,0
P4,g0,g0D,3,9,success,1,0,23,1495.2,0,0,0,0,0
P4,g0,g0D,3,10,success,1,0,17,793.5,1,1,343,0,0
P4,g0,g0D,5,1,success,1,0,26,2283.9,3,3,1043,1,0
P4,g0,g0D,5,2,success,1,0,23,1512.0,1,1,345,1,0
P4,g0,g0D,5,3,success,1,0,27,3012.2,1,1,345,1,0
P4,g0,g0D,5,4,success,1,0,24,2541.9,2,2,690,1,0
P4,g0,g0D,5,5,success,1,0,28,2201.7,1,1,349,0,1
P4,g0,g0D,5,6,success,1,0,30,2906.3,4,4,1388,1,2
P4,g0,g0D,5,7,success,1,0,29,2716.4,2,2,698,1,0
P4,g0,g0D,5,8,success,1,0,31,2517.8,1,1,345,1,0
P4,g0,g0D,5,9,success,1,0,30,2252.3,1,1,345,1,0
P4,g0,g0D,5,10,success,1,0,26,1735.7,1,1,345,1,0
P4,g0,g0D,9,1,success,1,0,39,3343.2,6,6,2103,1,2
P4,g0,g0D,9,2,success,1,0,32,3408.6,4,4,1387,1,0
P4,g0,g0D,9,3,success,1,0,37,3249.9,4,4,1402,1,0
P4,g0,g0D,9,4,success,1,0,36,3684.0,0,0,0,0,0
P4,g0,g0D,9,5,success,1,0,25,2064.7,3,3,1047,1,0
P4,g0,g0D,9,6,success,1,0,33,3041.6,4,4,1397,1,0
P4,g0,g0D,9,7,success,1,0,34,3319.5,4,4,1388,1,2
P4,g0,g0D,9,8,policy_fail,0,0,31,3586.7,6,6,2094,1,4
P4,g0,g0D,9,9,success,1,0,23,1771.4,2,2,694,1,0
P4,g0,g0D,9,10,policy_fail,0,0,39,2732.0,5,5,1742,1,2
